== PHASE 6A — FACTOR SWEEP (borrowed alpha library, our statistics) ==
statistic mean 20d rank IC with Newey-West t (lag = horizon) — Phase 4's Gate-1 statistic, unchanged
reported  5d / 20d / 60d — 5d and 60d may not override the 20d decision
FDR       Benjamini-Hochberg q=0.05, normal-approximation p from the NW t (disclosed)
promotion top 20 US alphas by mean IC, pre-registered, no post-hoc addition

--- US ---
panel      us-2021-09-20_2026-09-17-1254s-555n-689572b-fwd-b1e4fbeabb44
window     2022-09-19 … 2026-09-17 (1003 sessions)
breadth    U1 547.7/day · U2 180.2/day  (U1 is primary; U2 reported)
statistic  mean 20d rank IC · NW t (lag 20) · 982 days on the first row · alphas 436 evaluated, 0 skipped
floors     power floor 0.0297 (t=2 at the lane's realized NW SE 0.01486) · FDR q=0.05 over K=436
luck       E[max|IC|] ≈ 0.0518 at the lane SE 0.01486 · 0.0358 at the sweep's own mean SE 0.01028 — K assumed independent, so this is CONSERVATIVE
labels     alive 0 · reversed 0 · dead 436   (FDR discoveries 0)

  alpha                      univ   meanIC     NWt    ICIR  days  brdth         p       FDR label    
    qlib158_imax60  2022 -0.0505 (22d) · 2023 0.1205 (237d) · 2024 0.1090 (243d) · 2025 0.0336 (246d) · 2026 0.0517 (156d)
    qlib158_imxd20  2022 -0.0352 (22d) · 2023 0.0989 (237d) · 2024 0.1093 (243d) · 2025 0.0314 (246d) · 2026 0.0226 (156d)
    qlib158_max30  2022 -0.0370 (22d) · 2023 -0.2043 (237d) · 2024 -0.0867 (243d) · 2025 0.0351 (246d) · 2026 -0.0904 (156d)
    qlib158_max60  2022 -0.0414 (22d) · 2023 -0.2502 (237d) · 2024 -0.1008 (243d) · 2025 0.0273 (246d) · 2026 -0.1198 (156d)
    qlib158_rank60  2022 -0.1384 (22d) · 2023 0.1340 (237d) · 2024 0.0591 (243d) · 2025 0.0174 (246d) · 2026 0.0292 (156d)
    qlib158_rsqr30  2022 0.2106 (22d) · 2023 0.0986 (237d) · 2024 0.0863 (243d) · 2025 -0.0014 (246d) · 2026 0.0177 (156d)
    qlib158_rsv30  2022 -0.0867 (22d) · 2023 0.1516 (237d) · 2024 0.1009 (243d) · 2025 0.0078 (246d) · 2026 0.0222 (156d)
    qlib158_rsv60  2022 -0.0453 (22d) · 2023 0.1721 (237d) · 2024 0.0738 (243d) · 2025 0.0102 (246d) · 2026 0.0778 (156d)
    qlib158_sumd20  2022 -0.1398 (22d) · 2023 0.1185 (237d) · 2024 0.1301 (243d) · 2025 0.0023 (246d) · 2026 0.0130 (156d)
    qlib158_sumd30  2022 -0.0926 (22d) · 2023 0.1365 (237d) · 2024 0.1073 (243d) · 2025 0.0032 (246d) · 2026 0.0019 (156d)
    qlib158_sumn20  2022 0.1398 (22d) · 2023 -0.1185 (237d) · 2024 -0.1301 (243d) · 2025 -0.0023 (246d) · 2026 -0.0130 (156d)
    qlib158_sumn30  2022 0.0926 (22d) · 2023 -0.1365 (237d) · 2024 -0.1073 (243d) · 2025 -0.0032 (246d) · 2026 -0.0018 (156d)
    qlib158_sump20  2022 -0.1398 (22d) · 2023 0.1185 (237d) · 2024 0.1301 (243d) · 2025 0.0023 (246d) · 2026 0.0131 (156d)
    qlib158_sump30  2022 -0.0926 (22d) · 2023 0.1365 (237d) · 2024 0.1073 (243d) · 2025 0.0032 (246d) · 2026 0.0018 (156d)
  horizons for survivors (5 / 20 / 60):
    academic_high52w  5d IC 0.0531 t 3.45 · 20d IC 0.1051 t 3.55 · 60d IC 0.1081 t 2.52
                      prop spread 5d +0.23% t 1.75 · 20d +0.83% t 1.83 · 60d +1.97% t 1.67
    academic_illiq  5d IC -0.0525 t -3.15 · 20d IC -0.0941 t -3.19 · 60d IC -0.1414 t -3.40
                    prop spread 5d -0.39% t -2.54 · 20d -1.16% t -2.51 · 60d -1.98% t -1.57
    academic_smb  5d IC -0.0352 t -2.31 · 20d IC -0.0670 t -2.83 · 60d IC -0.1169 t -2.96
                  prop spread 5d -0.26% t -2.20 · 20d -0.95% t -2.69 · 60d -3.02% t -3.33
    qlib158_cntd10  5d IC 0.0071 t 0.49 · 20d IC 0.0579 t 2.95 · 60d IC 0.0915 t 4.00
                    prop spread 5d +0.12% t 0.99 · 20d +1.12% t 3.24 · 60d +2.06% t 3.17
    qlib158_cntd20  5d IC 0.0192 t 1.31 · 20d IC 0.0852 t 4.16 · 60d IC 0.0963 t 3.45
                    prop spread 5d +0.14% t 1.25 · 20d +1.09% t 3.30 · 60d +1.69% t 1.90
    qlib158_cntd30  5d IC 0.0321 t 2.23 · 20d IC 0.0860 t 4.03 · 60d IC 0.0867 t 2.65
                    prop spread 5d +0.11% t 0.87 · 20d +0.88% t 2.11 · 60d +1.95% t 1.75
    qlib158_cntd60  5d IC 0.0304 t 2.12 · 20d IC 0.0627 t 2.87 · 60d IC 0.0911 t 2.46
                    prop spread 5d +0.19% t 1.37 · 20d +1.05% t 2.48 · 60d +3.17% t 2.25
    qlib158_cntn10  5d IC -0.0075 t -0.52 · 20d IC -0.0677 t -3.48 · 60d IC -0.1031 t -4.86
                    prop spread 5d -0.12% t -0.97 · 20d -0.89% t -2.63 · 60d -2.10% t -2.75
    qlib158_cntn20  5d IC -0.0247 t -1.70 · 20d IC -0.1022 t -5.01 · 60d IC -0.1134 t -4.37
                    prop spread 5d -0.22% t -1.81 · 20d -1.29% t -3.71 · 60d -2.55% t -3.03
    qlib158_cntn30  5d IC -0.0384 t -2.72 · 20d IC -0.1030 t -4.73 · 60d IC -0.1122 t -3.61
                    prop spread 5d -0.48% t -3.82 · 20d -1.50% t -3.89 · 60d -2.42% t -2.83
    qlib158_cntn60  5d IC -0.0420 t -3.05 · 20d IC -0.0842 t -3.63 · 60d IC -0.1168 t -3.11
                    prop spread 5d -0.41% t -3.20 · 20d -1.43% t -3.73 · 60d -2.95% t -2.97
    qlib158_cntp20  5d IC 0.0102 t 0.69 · 20d IC 0.0582 t 2.79 · 60d IC 0.0661 t 2.18
                    prop spread 5d +0.16% t 1.37 · 20d +0.78% t 2.18 · 60d +1.21% t 1.23
    qlib158_cntp30  5d IC 0.0240 t 1.67 · 20d IC 0.0596 t 2.76 · 60d IC 0.0547 t 1.55
                    prop spread 5d +0.21% t 1.65 · 20d +0.78% t 1.72 · 60d +1.57% t 1.41
    qlib158_cord20  5d IC -0.0046 t -0.34 · 20d IC 0.0670 t 3.51 · 60d IC 0.0563 t 1.60
                    prop spread 5d -0.09% t -0.63 · 20d +1.13% t 3.18 · 60d +3.44% t 3.22
    qlib158_imax20  5d IC -0.0010 t -0.07 · 20d IC 0.0572 t 2.71 · 60d IC 0.0472 t 2.98
                    prop spread 5d +0.24% t 1.73 · 20d +0.79% t 2.10 · 60d +0.87% t 1.05
    qlib158_imax30  5d IC 0.0059 t 0.39 · 20d IC 0.0695 t 3.21 · 60d IC 0.0557 t 2.88
                    prop spread 5d +0.25% t 1.73 · 20d +0.98% t 2.54 · 60d +1.54% t 1.78
    qlib158_imax60  5d IC 0.0230 t 1.59 · 20d IC 0.0777 t 4.20 · 60d IC 0.0477 t 1.87
                    prop spread 5d +0.24% t 1.64 · 20d +1.11% t 2.87 · 60d +1.84% t 2.07
    qlib158_imxd20  5d IC -0.0010 t -0.07 · 20d IC 0.0669 t 3.77 · 60d IC 0.0441 t 2.24
                    prop spread 5d +0.19% t 1.41 · 20d +1.07% t 3.05 · 60d +1.13% t 1.66
    qlib158_max30  5d IC -0.0212 t -1.25 · 20d IC -0.0838 t -2.91 · 60d IC -0.1115 t -3.30
                   prop spread 5d -0.17% t -1.07 · 20d -0.66% t -1.20 · 60d -1.12% t -0.98
    qlib158_max60  5d IC -0.0410 t -2.62 · 20d IC -0.1069 t -3.79 · 60d IC -0.1170 t -3.39
                   prop spread 5d -0.34% t -2.35 · 20d -0.99% t -1.78 · 60d -1.64% t -1.45
    qlib158_rank60  5d IC 0.0033 t 0.24 · 20d IC 0.0574 t 3.03 · 60d IC 0.0466 t 2.22
                    prop spread 5d +0.10% t 0.78 · 20d +0.72% t 2.25 · 60d +1.30% t 1.67
    qlib158_rsqr30  5d IC 0.0025 t 0.17 · 20d IC 0.0568 t 3.09 · 60d IC 0.0417 t 1.48
                    prop spread 5d +0.06% t 0.36 · 20d +0.79% t 2.06 · 60d +1.26% t 1.17
    qlib158_rsv30  5d IC 0.0051 t 0.32 · 20d IC 0.0707 t 3.21 · 60d IC 0.0582 t 2.61
                   prop spread 5d -0.03% t -0.20 · 20d +0.51% t 1.40 · 60d +0.96% t 1.08
    qlib158_rsv60  5d IC 0.0129 t 0.90 · 20d IC 0.0801 t 3.95 · 60d IC 0.0539 t 2.23
                   prop spread 5d -0.06% t -0.44 · 20d +0.47% t 1.20 · 60d +0.85% t 0.89
    qlib158_sumd20  5d IC -0.0123 t -0.76 · 20d IC 0.0655 t 2.96 · 60d IC 0.0426 t 2.04
                    prop spread 5d +0.10% t 0.70 · 20d +0.82% t 1.90 · 60d +1.14% t 1.36
    qlib158_sumd30  5d IC 0.0250 t 1.63 · 20d IC 0.0636 t 2.86 · 60d IC 0.0315 t 1.08
                    prop spread 5d +0.31% t 2.00 · 20d +1.19% t 2.52 · 60d +1.48% t 1.39
    qlib158_sumn20  5d IC 0.0123 t 0.76 · 20d IC -0.0655 t -2.96 · 60d IC -0.0426 t -2.04
                    prop spread 5d -0.07% t -0.51 · 20d -0.85% t -2.08 · 60d -1.20% t -2.04
    qlib158_sumn30  5d IC -0.0250 t -1.63 · 20d IC -0.0636 t -2.86 · 60d IC -0.0315 t -1.08
                    prop spread 5d -0.29% t -2.02 · 20d -0.56% t -1.61 · 60d -0.34% t -0.46
    qlib158_sump20  5d IC -0.0123 t -0.76 · 20d IC 0.0655 t 2.96 · 60d IC 0.0426 t 2.04
                    prop spread 5d +0.10% t 0.70 · 20d +0.82% t 1.90 · 60d +1.14% t 1.36
    qlib158_sump30  5d IC 0.0250 t 1.63 · 20d IC 0.0636 t 2.86 · 60d IC 0.0315 t 1.08
                    prop spread 5d +0.31% t 2.00 · 20d +1.19% t 2.52 · 60d +1.48% t 1.39

  PROMOTION: none — the vendor archive is US-only, so HK can never exceed insufficient_evidence in this phase.

FDR sensitivity: pooling every lane's U1/U2 rows into ONE correction (K=768, the stricter reading) leaves 15 discoveries (HK 15). The per-lane numbers above are the decision; this line exists so the lenient direction is visible.

Pre-registered limitations:
  · The picker window can only separate IC ≈ 0 from |IC| ≳ 0.03 (US) / 0.05 (HK), so `dead` means UNINFORMATIVE, not 'no edge'.
  · HK has no confirmation stage: the vendor archive is US-only, so HK cannot exceed insufficient_evidence here.
  · The FDR/luck numbers assume K independent trials; real alphas are correlated, so E[max|IC|] is conservative (harder to pass).
  · p-values are a normal approximation to a HAC t-statistic, mildly anti-conservative in the far tail.
  · Survivorship, one regime, delisting tails absent from IC — unchanged from Phase 4.
  · This is a SCREEN. A label is a shortlist entry, not a verdict; the verdict is A7 on the vendor test half.
